2024-04-21 10:27:01,415 INFO    StreamThr :3360818 [internal.py:wandb_internal():86] W&B internal server running at pid: 3360818, started at: 2024-04-21 10:27:01.415015
2024-04-21 10:27:01,417 DEBUG   HandlerThread:3360818 [handler.py:handle_request():146] handle_request: status
2024-04-21 10:27:01,426 INFO    WriterThread:3360818 [datastore.py:open_for_write():87] open: /home/student/HumanChoicePrediction/HumanChoicePrediction-1/wandb/run-20240421_102701-0l2team8/run-0l2team8.wandb
2024-04-21 10:27:01,426 DEBUG   SenderThread:3360818 [sender.py:send():379] send: header
2024-04-21 10:27:01,444 DEBUG   SenderThread:3360818 [sender.py:send():379] send: run
2024-04-21 10:27:01,690 INFO    SenderThread:3360818 [dir_watcher.py:__init__():211] watching files in: /home/student/HumanChoicePrediction/HumanChoicePrediction-1/wandb/run-20240421_102701-0l2team8/files
2024-04-21 10:27:01,690 INFO    SenderThread:3360818 [sender.py:_start_run_threads():1124] run started: 0l2team8 with start time 1713684421.415262
2024-04-21 10:27:01,702 DEBUG   HandlerThread:3360818 [handler.py:handle_request():146] handle_request: check_version
2024-04-21 10:27:01,703 DEBUG   SenderThread:3360818 [sender.py:send_request():406] send_request: check_version
2024-04-21 10:27:01,749 DEBUG   HandlerThread:3360818 [handler.py:handle_request():146] handle_request: run_start
2024-04-21 10:27:01,753 DEBUG   HandlerThread:3360818 [system_info.py:__init__():26] System info init
2024-04-21 10:27:01,753 DEBUG   HandlerThread:3360818 [system_info.py:__init__():41] System info init done
2024-04-21 10:27:01,753 INFO    HandlerThread:3360818 [system_monitor.py:start():194] Starting system monitor
2024-04-21 10:27:01,753 INFO    SystemMonitor:3360818 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-21 10:27:01,753 INFO    HandlerThread:3360818 [system_monitor.py:probe():214] Collecting system info
2024-04-21 10:27:01,754 INFO    SystemMonitor:3360818 [interfaces.py:start():190] Started cpu monitoring
2024-04-21 10:27:01,754 INFO    SystemMonitor:3360818 [interfaces.py:start():190] Started disk monitoring
2024-04-21 10:27:01,755 INFO    SystemMonitor:3360818 [interfaces.py:start():190] Started gpu monitoring
2024-04-21 10:27:01,756 INFO    SystemMonitor:3360818 [interfaces.py:start():190] Started memory monitoring
2024-04-21 10:27:01,757 INFO    SystemMonitor:3360818 [interfaces.py:start():190] Started network monitoring
2024-04-21 10:27:01,767 DEBUG   HandlerThread:3360818 [system_info.py:probe():150] Probing system
2024-04-21 10:27:01,773 DEBUG   HandlerThread:3360818 [system_info.py:_probe_git():135] Probing git
2024-04-21 10:27:01,787 DEBUG   HandlerThread:3360818 [system_info.py:_probe_git():143] Probing git done
2024-04-21 10:27:01,787 DEBUG   HandlerThread:3360818 [system_info.py:probe():198] Probing system done
